#,ИМЕ,СЛЕДВАТЕЛИ,ER,ДЪРЖАВА,ТЕМА НА ВЛИЯНИЕ,ПОТЕНЦИАЛНО ПОКРИТИЕ,ЗАПИШИ,ПОКАНИ ЗА КАМПАНИЯ
1,Unaa🍜 @mieayamthebstt,14.4M,-,Индонезия,Игри,4.3M,,Преглед на профил
2,DamnBoy⚫️🔓 @razor.fathanah,13M,-,Индонезия,Забавление и музика Careers,3.9M,,Преглед на профил
3,VILMEI✨ @vilmeijuga,11.4M,0.2%,Индонезия,Храна,3.4M,,Преглед на профил
4,Dewi perssik @dewiperssik_real,10M,-,Индонезия,Забавление и музика,3M,,Преглед на профил
5,Trisha Zia @trishaaazia,9M,1.1%,Индонезия,Красота и грижа за себе си,2.7M,,Преглед на профил
6,Baim Wong @baimwong,8.2M,-,Индонезия,Актьорство и драма Забавление и музика,2.5M,,Преглед на профил
7,EdW!!Nn🦇 @edw1n_98,8M,-,Индонезия,Забавление и музика,2.4M,,Преглед на профил
8,Valenrewah @valenrewah,7.7M,-,Индонезия,,2.3M,,Преглед на профил
9,prilly latuconsina @prillylatuconsina15,7.2M,-,Индонезия,Забавление и музика,2.2M,,Преглед на профил
10,Heiraks @heiraksyt,6.5M,-,Индонезия,,2M,,Преглед на профил
11,Vilia Carl @viliacarl,6.4M,2.1%,Индонезия,,1.9M,,Преглед на профил
12,BIGO: Riri.c @ririiii.26.on.ig,6.3M,-,Индонезия,Забавление и музика,1.9M,,Преглед на профил
13,Follow ig : @ismindyh_ @tanteismi,5.9M,-,Индонезия,,1.8M,,Преглед на профил
14,Lazada Indonesia @lazadaid,5.6M,-,Индонезия,,1.7M,,Преглед на профил
15,Madam Sonia @madamsoniia,5.5M,0.9%,Индонезия,Красота и грижа за себе си,1.7M,,Преглед на профил
16,Jess No Limit @jessnolimit999,5.3M,0.1%,Индонезия,,1.6M,,Преглед на профил
17,fhia @alifhiaf,5.2M,-,Индонезия,,1.6M,,Преглед на профил
18,Syahnaz Sadiqah @syahnazsadiqah,5.1M,-,Индонезия,,1.5M,,Преглед на профил
19,Jervan Jervan @jervanjervan,5M,-,Индонезия,Забавление и музика,1.5M,,Преглед на профил
20,RADAR SUMEDANG @radarsumedang,5M,-,Индонезия,Забавление и музика,1.5M,,Преглед на профил
21,Vinny Laurencia @kulinersamacici,4.7M,-,Индонезия,,1.4M,,Преглед на профил
22,The Real Ninja ⚔️ @dedebin,4.6M,-,Индонезия,,1.4M,,Преглед на профил
23,Feby @frnzlynfby,4.6M,4.8%,Индонезия,Забавно,1.4M,,Преглед на профил
24,Happy Asmara @happyasmara,4.5M,-,Индонезия,Забавление и музика,1.4M,,Преглед на профил
25,Dokter Gigi Tri Putra @doktergigi_,4.4M,-,Индонезия,,1.3M,,Преглед на профил
26,RISQI @risqii_af,4.2M,-,Индонезия,,1.3M,,Преглед на профил
27,PutraChanKasela @putrachankasela_,4.1M,-,Индонезия,,1.2M,,Преглед на профил
28,Reza Gladys Prettyani Sari @rezagladys,4M,-,Индонезия,,1.2M,,Преглед на профил
29,Irene Suwandi @ireneswnd,4M,0.1%,Индонезия,,1.2M,,Преглед на профил
30,Bella Tobing✨ @bellzky16,3.9M,-,Индонезия,Забавление и музика,1.2M,,Преглед на профил
31,EVOS RAMBO @ramboeiei,3.7M,0.1%,Индонезия,Игри,1.1M,,Преглед на профил
32,dr. Kevin Mak @drkevinmak,3.7M,-,Индонезия,,1.1M,,Преглед на профил
33,Nino @ninnocupaw290,3.6M,-,Индонезия,,1.1M,,Преглед на профил
34,Haymin080 @hayminofficial,3.6M,-,Индонезия,Автомобили и превозни средства,1.1M,,Преглед на профил
35,Oktaviey @oktavieyy,3.4M,-,Индонезия,Забавление и музика,1M,,Преглед на профил
36,SHELLA SAUKIA @shellasaukia,3M,-,Индонезия,Мода и аксесоари,900K,,Преглед на профил
37,Nathaniel Rivan @niellzss,3M,0.1%,Индонезия,Образование,900K,,Преглед на профил
38,s a s k e h🕊 @saskeh.series,2.9M,-,Индонезия,,870K,,Преглед на профил
39,rully @rullysarjana,2.8M,-,Индонезия,,840K,,Преглед на профил
40,Instagram : @Fauzan_Nasrul @fauzannasrull,2.8M,-,Индонезия,Продуктови представяния,840K,,Преглед на профил
41,ERA.ID @eradotid,2.6M,-,Индонезия,Образование,780K,,Преглед на профил
42,Janes_cs🇮🇩 @janes_cs,2.6M,-,Индонезия,,780K,,Преглед на профил
43,BNW Esports @bnwesports,2.6M,-,Индонезия,,780K,,Преглед на профил
44,Ndaru Suci Kusuma @ndarusucii,2.4M,-,Индонезия,,720K,,Преглед на профил
45,KD・Daeng友 @panggilsajadaeng,2.4M,-,Индонезия,Забавление и музика,720K,,Преглед на профил
46,Pocong Gaolzzzz👻 @pocongbarbar,2.4M,-,Индонезия,Забавление и музика,720K,,Преглед на профил
47,Francis Karel @franciskarelofficial,2.3M,-,Индонезия,,690K,,Преглед на профил
48,Baldtwins👨🏻‍🦲 @baldtwins,2.3M,-,Индонезия,,690K,,Преглед на профил
49,Qonitcah | Edukasi Kesehatan @qonitcah,2.3M,0.3%,Индонезия,Образование Фитнес и здраве,690K,,Преглед на профил
50,TRIBUN LAMPUNG @tribunlampung,2.2M,-,Индонезия,Забавление и музика,660K,,Преглед на профил
51,Focallure Indonesia @focallure.beauty,2.1M,-,Индонезия,Красота и грижа за себе си,630K,,Преглед на профил
52,SATRIA🤗✨ @bangsatria_98,2.1M,-,Индонезия,,630K,,Преглед на профил
53,Reizuka Ari @dictionarei,2.1M,-,Индонезия,,630K,,Преглед на профил
54,BagasCraft.ID @bagascraft.asli,2.1M,-,Индонезия,Анимация и косплей,630K,,Преглед на профил
55,KompasTV News @kompastvnews,2.1M,-,Индонезия,Забавление и музика Новини,630K,,Преглед на профил
56,Kompas.com @kompascom,2M,-,Индонезия,Новини,600K,,Преглед на профил
57,Muksin Alatas @muksinalatas015,2M,0.2%,Индонезия,,600K,,Преглед на профил
58,𝐕𝐢𝐬𝐡𝐧𝐮 𝐢𝐬𝐥𝐞𝐬 @vishnu27,2M,-,Индонезия,Забавление и музика,600K,,Преглед на профил
59,Marshel Widianto @marshelwidianto,1.9M,-,Индонезия,,570K,,Преглед на профил
60,Zaskiasungkar Irwansyah @zaskirwan15,1.9M,-,Индонезия,,570K,,Преглед на профил
61,Greysia Polii @greysiapolii,1.9M,-,Индонезия,Спорт,570K,,Преглед на профил
62,mbak ninid🐥 @mbakninid,1.9M,-,Индонезия,,570K,,Преглед на профил
63,Chocopie @pooliinaa_09,1.8M,0.1%,Индонезия,,540K,,Преглед на профил
64,Lestari Tensi @lestaritensi,1.8M,-,Индонезия,,540K,,Преглед на профил
65,Melki Balipa Emil @melkibajaj,1.8M,6%,Индонезия,Образование Повишаване на квалификацията,540K,,Преглед на профил
66,Iya SiaGian🇮🇩 @iya_siagian27,1.8M,-,Индонезия,,540K,,Преглед на профил
67,tribuntimurdotcom @tribuntimur.com,1.8M,-,Индонезия,,540K,,Преглед на профил
68,IGGY DZU @iggydzu,1.8M,0.1%,Индонезия,,540K,,Преглед на профил
69,ivanachindy @panao_25,1.8M,1.6%,Индонезия,,540K,,Преглед на профил
70,Dusun Semilir @dusunsemilir,1.8M,-,Индонезия,Пътувания,540K,,Преглед на профил
71,Laurence Benson @laurence_benson,1.7M,-,Индонезия,Бизнес и финанси Храни и напитки,510K,,Преглед на профил
72,Bora 🇰🇷🇮🇩 @borassaem,1.7M,-,Индонезия,Образование Бизнес и финанси,510K,,Преглед на профил
73,CBID @cewekbanget.id,1.7M,-,Индонезия,,510K,,Преглед на профил
74,Parisa @farisasusandi,1.7M,-,Индонезия,,510K,,Преглед на профил
75,TSG⭐️DEWA INDRA👑 @dewaindra88,1.6M,-,Индонезия,,480K,,Преглед на профил
76,Naing Lin💘 @nainglin257,1.6M,-,Индонезия,,480K,,Преглед на профил
77,Ziva Magnolya @szivsz,1.6M,0.2%,Индонезия,Забавление и музика,480K,,Преглед на профил
78,"inisial ""L"" @jejak_presiden",1.6M,0.5%,Индонезия,Забавление и музика,480K,,Преглед на профил
79,INDOZONE @indozone.id,1.6M,-,Индонезия,Забавление и музика Образование,480K,,Преглед на профил
80,Popbela @popbela_com,1.6M,-,Индонезия,,480K,,Преглед на профил
81,Dila_JM @dila_jm,1.6M,0.1%,Индонезия,Забавление и музика,480K,,Преглед на профил
82,🌀istri_idaman🌀 @rika25041997,1.6M,-,Индонезия,,480K,,Преглед на профил
83,Diera nathania @dieranathania,1.5M,-,Индонезия,,450K,,Преглед на профил
84,Titi Kamal @titi_kamall,1.5M,-,Индонезия,Актьорство и драма Знаменитост,450K,,Преглед на профил
85,Ryann_ @ryan_ramadhan99,1.5M,-,Индонезия,,450K,,Преглед на профил
86,DADANN @dadansapta_irwn,1.4M,0.6%,Индонезия,,420K,,Преглед на профил
87,Karang Gigi Ketapang 🔘 @karanggigiketapang,1.4M,-,Индонезия,,420K,,Преглед на профил
88,Ulvi Safitri @ulfysss_,1.4M,-,Индонезия,,420K,,Преглед на профил
89,Megassilvie 🧚‍♀️ @megassilvie,1.4M,-,Индонезия,Пътувания,420K,,Преглед на профил
90,Vaa🌻 @elvaeldanica,1.4M,-,Индонезия,,420K,,Преглед на профил
91,TikTok Treats Indonesia @treats_id,1.4M,-,Индонезия,,420K,,View Profile
92,Ika purpitasari @ika_1id,1.4M,-,Indonesia,family,420K,,View Profile
93,William Lomban @williamlomban,1.3M,-,Indonesia,Food,390K,,View Profile
94,Hilda @hildaxkeiko,1.3M,-,Indonesia,,390K,,View Profile
95,Antonio Evan @antonioevan_,1.3M,-,Indonesia,Entertainment and Music,390K,,View Profile
96,Andra Mahendra @anddra_mahendra,1.3M,-,Indonesia,Education Upskilling Business and Finance,390K,,View Profile
97,Chris Andrian Yang @chrisandrian,1.3M,-,Indonesia,,390K,,View Profile
98,bliblidotcom @bliblidotcom,1.3M,-,Indonesia,,390K,,View Profile
99,Asakecil 🦄 @asakecil,1.3M,-,Indonesia,Beauty and Self Care Pets,390K,,View Profile
100,MELINDA CHIA @melinda.chia,1.3M,-,Indonesia,,390K,,View Profile
